WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,4.24.23,4.25.23,4.26.23,4.27.23,4.28.23,4.29.23,5.1.23,5.2.23,5.3.23,5.4.23,5.5.23,5.6.23,5.8.23,5.9.23,5.10.23,5.11.23,5.12.23,5.13.23,5.15.23,5.16.23,5.17.23,5.18.23,5.19.23,5.20.23
Primer,15 Box Jumps,12 Med Ball Push Press,:30 Iso DL,,15 Med Ball Chest Pass,12 Squat Sit BNP,25 Kb Swings,10 Drop Snatch,15 Box Jumps,,12 Split Jerk Footwork,10 Rev Med Ball Toss,25 Kb Swings,10 Push Press to Jerk,3x :10 Iso Deadlifts,,7 Eccentric Push Ups,10 Drop Snatch,3x :10 Iso Deadlifts,15 Muscle Snatch + OHS,500m Row,,10 Eccentric Push Ups,15 Muscle Snatch + OHS
Strength, ,,,,,,,,,,,,,,,,,,ref 2.20.23,ref 2.21.23,ref 2.22.23,World Whiskey Day,,ref 2.25.23
Athlete,Back Squats 5x5@ 80%,Clean and Jerk 6x2@ 75%,Deadlifts 5x5@ 80%,,Bench 5x5@ 80%,OHS 5x5@ 155/110,Deadlifts 6x2@ 85%,Snatch 6x2@ 80%,Back Squats 6x2@ 85%,,Clean and Jerk  6x2@ 80%,Bench 6x2@ 85%,"Back Squats 6x2@ 90%
",Clean and Jerk 6x2@ 85%,Deadlifts 6x2@ 90%,,Close Grip Bench 6x2@ 80%,Snatch 6x2@ 85%,Deadlifts 5x2@ 95%,Snatch 6x2@ 90%,Back Squats 5x2@ 95%,,Bench 5x2@ 95%,Clean and Jerk 6x2@ 90%
Enthusiast,Back Squats 5x5@ 70%,P Clean to Push Press 6x2@ 145/90,Deadlifts 5x5@ 70%,,Bench 5x5@ 70%,OHS 5x5@ 115/85,Deadlifts 6x2@ 75%,Power Snatch 6x2@ 135/85,Back Squats 6x2@ 75%,,Power Clean-Push Press 6x2@ 70%,Bench 6x2@ 75%,Back Squats 6x2@ 80%,Power Clean and Jerk 6x2@ 135/85,Deadlifts 6x2@ 80%,,Close Grip Bench6x2@ 70%,Power Snatch 6x2@ 145/90,Deadlifts 5x2@ 85%,Power Snatch 6x2@ 155/96,Back Squats 5x1@ 85%,,Bench 5x1@ 85%,Power Clean and Jerk 6x2@ 145/90
Foundation,Box Squats 5x5@75/45,M Clean to Sh Pr 6x2@ 100/70,RDL's 5x5@ 135/85,,Bench 5x5@ 95/65,OHS 5x5@ 35/25,RDL's 6x2@ 145/90,Muscle Snatch 6x2@75/45,Box Squats 6x2@ 85/50,,Muscle Clean-Sh Press 6x2@ 85/55,Bench 6x2@ 105/70,Box Squats 6x2@ 95/65,Muscle Clean-Push Press 6x2@ 95/65,RDL's 6x2@ 155/95,,Close Grip Bench 6x2@ 95/65,Muscle Snath 6x2@ 80/50,RDL's 5x2@ 165/105,Muscle Snatch 6x2@ 95/55,Box Squats 5x2@ 135/85,,Bench 5x2@ 105/75,Muscle Clean-Push Press 6x2@ 100/70
At-Home,Goblet Squats 5x5@ AHvyAP,Big Skips 6x20yds,Single Leg RDL 5x5ea,,Push Ups 5x10,OHS 5x10@ pvc,Hip Airplanes 5x7ea,Overhead Squat 6x7@ pvc,Goblet Squats 6x5@ AHvyAP,,Squat Jumps 6x7,Push Ups 6x10,Goblet Squats 6x5@ AHvyAP,Jumping Lunges 6x12,Hip Airplanes 5x10ea,,Narrow Push Ups 6x8,Overhead Squats 6x10@ pvc,Heel Touches 5x12ea,1-Leg Squat Jump 5x5ea,Single Leg Squats 5x10ea,,"Tempo Push Ups 5x3@ 5""-5""-5""",Jumping Lunges 6x12
,A- Lt | L- Hvy,A- Med | L- Lt,A- Hvy | L- Med,,A- Lt | L-Hvy,A- Med | L- Lt,A- Hvy | L- Med,A-Lt | L-Hvy,A- Med | L-Lt,,A- Hvy | L-Med,A- Lt | L-Hvy,A-Med | L-Lt,A-Hvy | L-Med,A-Lt | L-Hvy,,A-Med | L-Lt,A- Hvy | L-Med,A-Lt | L-Hvy,A-Hvy | L-Lt,A-Med | L-Hvy,,A-Lt | L-Med,A-Med | L-Lt
WoD,,,,https://www.youtube.com/watch?v=5MfhGKK_fo0&feature=youtu.be,,,,,Death by Pull Ups,Knee Pain Relief,,,,,,Preven tthe Hunchback (and neck/shoulder pain),,,,,,Fix Knee Pain,,
