WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,3.29.21,3.30.21,3.31.21,4.1.21,4.2.21,4.3.21,4.5.21,4.6.21,4.7.21,4.8.21,4.9.21,4.10.21,4.12.21,4.13.21,4.14.21,4.15.21,4.16.21,4.17.21,4.19.21,4.20.21,4.21.21,4.22.21,4.23.21,4.24.21
Primer,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,ref 10.6.20,,,ref 10.9.20,ref 11.28.20,,ref 10.13.20,,,,,,ref 4.5.16,ref 4.1.16,,ref 10.16.20,ref 4.16.16,ref 4.11.16,ref 4.12.16,ref 4.15.16,,ref 4.13.16,ref 4.25.16
Athlete,(20sec Squat) | Back Squats 5x3@ 40%,Snatch Balance 6x4@ 60%,(20sec Deadlift) | Deadlifts 5x3@ 40%,,(knee) | Clean Pull 6x4@ 60%,,Deadlifts 5x3@ 85%,Clean 6x2@ 80%,Back Squats 5x3@ 85%,,Snatch 6x2@ 80%,,Back Squats 5x2@ 90%,Snatch 6x2@ 85%,Deadlifts 5x2@ 90%,,Clean 6x2@ 85%,,Deadlifts 5x1@ 95%,Clean 6x1@ 90%,Back Squats 5x1@ 95%,,Snatch 6x1@ 90%,
Enthusiast,(20sec Squat) | Back Squats 5x3@ 40%,Snatch Balance 6x4@ 95/65,(20sec Deadlift) | Deadlifts 5x3@ 40%,,(PP) | Clean Pull 6x4@ 115/75,,Deadlifts 5x3@ 85%,Power Clean 6x2@ 155/115,Back Squats 5x3@ 85%,,Power Snatch 6x2@ 145/105,,Back Squats 5x2@ 90%,Snatch 6x2@ 150/110,Deadlifts 5x2@ 90%,,Clean 6x2@ 165/115,,Deadlifts 5x1@ 95%,Clean 6x1@ 185/125,Back Squats 5x1@ 95%,,Snatch 6x1@ 160/110,
Foundation,(20sec Squat) | Box Squats 5x3@ 95/65,(floor) | Lift Off 6x4@ 95/65,(20sec RDL) | RDL's 5x3@ 115/75,,(floor) | Lift Off 6x4@ 95/65,,RDL's 5x3@ 195/110,(Floor) | Muscle Clean 6x3@ 95/65,Box Squats 5x3@ 145/105,,(Floor) | Muscle Snatch 6x3@ 95/65,,Box Squats 5x2@ 155/110,Muscle Snatch 6x2@ 105/75,RDL's 5x2@ 205/115,,(Floor) | Muscle Clean 6x2@ 105/75,,RDL's 5x2@ 215/120,(Floor) | Muscle Clean 6x2@ 115/85,Box Squats 5x2@ 165/115,,(Floor) | Muscle Snatch 6x2@ 115/75,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,,,,,,,,,,,,,,,,,,,,,
Athlete,15min AMRAP,14min AMRAP,5rds; for time,Superficial Back Line ,12min AMRAP,20min AMRAP,8rds; for time,EMOM,12min AMRAP,How to fix your low back,5rds; for time,for time,5rds; for time,Emom for 16min,15min Amrap,How to increase Shoulder Mobility,14min AMRAP,3rds for time,15min Amrap,Emom for 21min,5min time cap,Squat Fix (Ground Up),4rds for time,for time
,2.5-5-2.5,7 Push Press (155/95),15 Kb Swings (70/55),Stretch- Foot sm | calf sm. | Ham St. | Glute Sm. QL Sm. | Scap Sm. | Neck Rolls,1 Eccentric Muscle Up,10 Clean to Press (115/75),12 Apollo Ohno's,Min 1:,10yd Broad Jumps,Litmus- Iso RDL,7 Chest to Bar Pull Ups,5rds of:,10 Kb Swings (70/55),Even: 8 Push Press (155/105),7 Muscle Cleans (115/75),Litmus- Prone Overhead Screen,10 Floor Press (155/95),100yd Farmers Carry (50's/35's),"5 Box Jumps (30""/24"")",for max reps,Ground to Overhead ladder,Litmus- Squat sit,5 Clusters (135/85),60 Back Squats (50%)*
