WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,7.15.19,7.16.19,7.17.19,7.18.19,7.19.19,7.20.19,7.22.19,7.23.19,7.24.19,7.25.19,7.26.19,7.27.19,7.29.19,7.30.19,7.31.19,8.1.19,8.2.19,8.3.19,8.5.19,8.6.19,8.7.19,8.8.19,8.9.19,8.10.19
Primer,,Snatch BNP 5x5@ 45/35,,,Kb Swing 3x10,,,Sott's Press 5x5@ 45/35,,,Broad Jump 5x 10yd,,,20 Underhand OHS facing wall,,,,,,30 Zombie Squats (45/35),,,Snatch BNP 5x5@ 45/35,
Strength,,,,,,,,,,,,,,,,,,,,,,,,
Athlete,Back Squats 4x10@ 70%,Hang Snatch 5x4@ 70%,Deadlift 4x10@ 70%,Durante Core | 5rds; for time | 10 Hollow Body rocks | 10 V-Ups | 10 Tuck Ups | :10 Hollow Hold | 1min rest,Hang Clean 5x4@ 70%,,Deadlifts 4x10@ 75%,Clean Pull Under 3x3@ 50% | Hang Clean 3x3@ 70%,Back Squats 4x10@ 75%,Abs: | 2x Tabata Paloff Press,Snatch Pull Under 3x3@ 50% | Hang Snatch 3x3@ 70%,,Deadlifts 4x8@ 75%,Drop Snatch 3x3@@ 60% | Snatch 4x3@ 75%,Back Squats 4x8@ 75%,Abs: | 30 Evil Wheels,Clean Pull Under 3x3@ 50% | Clean 4x3@ 75%,,Back Squats 4x8@ 78%,Clean Pull Under 2x3@ 50% | Clean 4x3@ 80%,Deadlifts 4x8@ 78%,Abs: | 5min Planks,Snatch Pull Under 2x3@ 50% | Snatch 4x3@ 80%,
Enthusiast,Back Squats 4x10@ 65%,Hang Power Snatch 5x4@ 95/65,Deadlift 4x10@ 65%,,Hang Power Clean 5x4@ 95/65,,Deadlifts 4x10@ 70%,Hang Power Clean 6x3@ 95/65,Back Squats 4x10@ 70%,,Hang Power Snatch 6x3@ 95/65,,Deadlifts 4x8@ 70%,Heaving Snatch Balance 7x3@ 95/65,Back Squats 4x8@ 70%,,Hang Clean+Fr Sq 7x3@ 115/75,,Back Squats 4x8@ 73%,Power Clean + Fr Sq 6x3@ 135/85,Deadlifts 4x8@ 73%,,Power Snatch 6x3@ 95/65,
Foundation,Squat to Box 4x10@ 75/55,Hang Muscle Snatch 5x5@ 75/45,Deadlift 4x10@ 95/65,,Hang Muscle Clean 5x5@ 75/45,,Deadlifts 4x10@ 95/65,Hang Muscle Clean 6x3@ 75/45,Back Squats 4x10@ 95/65,,Hang Muscle Snatch 6x5@ 75/45,,Deadlifts 4x8@ 135/85,Pressing Snatch Balance 7x3@ 45/35,Box Squats 4x8@ 95/65,,Hang Muscle Clean + Fr Sq 7x3@ 75/45,,Box Squats 4x8@ 115/75,Muscle Clean + Fr Sq 6x3@ 95/65,Deadlifts 4x8@ 155/95,,Muscle Snatch 6x3@ 75/45,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,,,OPEX Lactic Test,,,,,,Fortitude,,,,,,Bergeron Beep Test,,,,,,Optimus Prime
Athlete,15min AMRAP,5rds; for time,20min AMRAP,,6rds; for time,3 rounds; MAX effort,EMOM for 16min,10min AMRAP; for max reps,20-15-10-5,,7rds; for time,EMOM for 30min,EMOM for 12min,12min AMRAP,5rds; for time,Push Ups,for time,EMOM for as long as possible,30-20-10; for time,10rds; for time,EMOM for 15min (alt ex ea min),Front Squats,15min AMRAP,7min AMRAP
