WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,9.13.21,9.14.21,9.15.21,9.16.21,9.17.21,9.18.21,9.20.21,9.21.21,9.22.21,9.23.21,9.24.21,9.25.21,9.27.21,9.28.21,9.29.21,9.30.21,10.1.21,10.2.21,10.4.21,10.5.21,10.6.21,10.7.21,10.8.21,10.9.21
Primer,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,,,,,,,,,,,,,,ref 7.2.21,,,ref 6.29.21,,ref 7.13.21,,,ref 4.21.21,
Athlete,"Tempo DL 5x3@ 60% (3""-3""-3"")",Bench Press 5x5@ 75%,"Back Squats ( || 5"") 5x5@ 50%",,Muscle Ups 5x3,OHS 5x5@ 135/85,Back Sq. 5x3@ 87%,P. Clean + Fr Sq 6x2+2@ 75%,Deadlift 5x3@ 87%,,P. Sn. + OHS 6x2+2@ 75%,Make up lifts,Deadlift 5x2@ 90%,P. Sn. + OHS 6x2@ 80%,Back Squat 5x2@  90%,,P. Clean + Fr Sq 6x2+2@ 80%,Bench 5x2@ 85%,Back Squat 6x1@ 95%,Clean 7x1@ 90%,Deadlift 6x1@ 95%,,Snatch 7x1@ 90%,
Enthusiast,"Tempo DL 5x3@ 50% (5""-5""-5"")",Bench Press 5x5@ 75%,"Back Squats ( || 5"") 5x5@ 50%",,Strict Pull Ups 5x3,OHS 5x5@ 95/65,Back Squat 5x3@ 87%,(floor) | Power Clean 6x2@ 165/105,Deadlift 5x3@ 87%,,(floor) | Power Snatch 6x2@ 135/85,Make up lifts,Deadlift 5x2@ 90%,(floor) | Power Snatch 6x2@ 145/95,Back Squat 5x2@ 90%,,(floor) | Power Clean 6x2@ 175/115,Bench 5x2@ 85%,BackSquat 6x1@ 95%,(floor) | Power Clean 7x1@ 195/135,Deadlift 6x1@ 95%,,(floor) | Power Snatch 7x1@ 160/110,
Foundation,"Tempo RDL 5x5@ 95/65 (5""-5""-5"")",Bench Press 5x5@ 95/65,"Box Squats ( || 5"") 5x5@ 75/45",,Assisted Pull Ups 5x3,OHS 5x5@ 15/10,Box Squat 5x3@ 145/105,(Dip) | Power Clean 6x2@ 115/75,RDL 5x3@ 185/125,,(Dip) | Power Snatch 6x2@ 75/45,Make up lifts,RDL 5x2@ 195/135,(Dip) | Power Snatch 6x2@ 85/55,Box Squat 5x2@ 155/115,,(Dip) | Power Clean 6x2@ 125/85,Bench 5x2@ 135/85,Box Squat 6x2@ 175/120,(Dip) | Power Clean 6x2@ 135/95,RDL 6x2 @ 225/145,,(Dip) | Power Snatch 6x2@ 95/65,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Fix Weak Ankles,,,,,,Preventing Golfer/Tennis Elbow,Disguise Surprise,,,,,Prevent the Hunchback,,,,,,Squat Pain Free,,
Athlete,15min AMRAP,6rds; for time,6rds; for time,"Litmus- 5"" Ankle test",15min AMRAP,EMOM for 10min,15min AMRAP,5rds; for max reps ,5rds; for time,Litmus- Rotating Hammer,3 rounds; for time,3 rounds; for time,5rds; for time,EMOM For 15min,EMOM for 12min,Litmus- Sit Up Straight (for time),15min AMRAP,9min AMRAP,5rds; for time,Bench,12min AMRAP,Litmus- Squats,5min time cap,10rds; for time 
