WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,6.15.20,6.16.20,6.17.20,6.18.20,6.19.20,6.20.20,6.22.20,6.23.20,6.24.20,6.25.20,6.26.20,6.27.20,6.29.20,6.30.20,7.1.20,7.2.20,7.3.20,7.4.20,7.6.20,7.7.20,7.8.20,7.9.20,7.10.20,7.11.20
Primer,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,,,,,,,,,,,,,,,,,,,,,,,
Athlete,Back Squats 3x8@ 70%,@ knee) | Power Clean 7x3@ 70%,Deadlifts 3x8@ 70%,,(@ knee) | Power Snatch 7x3@ 70%,,Deadlifts 3x8@ 75%,(floor) | Power Snatch 7x3@ 70%,Back Squats 3x8@ 75%,,(floor) | Power Clean 7x3@ 70%,,Back Squats 4x8@ 70%,(@ knee) | Power Clean 6x3@ 75%,Deadlifts 4x8@ 70%,,(@ knee) | Power Snatch 6x3@ 75%,,Deadlifts 4x8@ 75%,(floor) | Power Snatch 6x3@ 75%,Back Squats 4x8@ 75%,,(Floor) | Power Clean 6x3@ 75%,
Enthusiast,Back Squats 3x8@ 65%,(PP) | Power Clean 7x3@ 135/85,Deadlifts 3x8@ 65%,,(PP) | Power Snatch 7x3@ 95/65,,Deadlifts 3x8@ 70%,(PP) | Sn Hi Pull+P Sn 7x 2+1@ 95/65,Back Squats 3x8@ 70%,,(PP) | Cl Hi Pull+P Cl 7x2+1@ 135/85,,Back Squats 4x8@ 65%,(PP) | Power Clean 7x3@ 155/95,Deadlifts 4x8@ 65%,,(PP) | Power Snatch 6x3@ 115/75,,Deadlifts 4x8@ 70%,(PP) | Sn Hi Pull+ P Sn 6x2+1@ 115/75,Back Squats 4x8@ 70%,,(PP) | Cl Hi Pull+ P Cl 7x2+1@ 155/95,
Foundation,Box Squats 3x8@ 105/85,Front Squat 7x3@ 95/65,RDL's 3x8@ 155/105,,OHS 7x3@ 45/35,,RDL's 3x8@ 155/105,Start Pos+Lift Off 7x 3@ 75/55,Box Squats 3x8@ 105/85,,Start Pos.+Lift Off 7x3@ 95/65,,Back Squats 4x8@ 105/85,Front Squats 7x3@ 115/75,RDL's 4x8@ 155/105,,OHS 6x3@ 55/45,,RDL's 4x8@ 155/105,Start + Lift Off 6x3@ 95/65,Box Squats 4x8@ 105/85,,Start + Lift Off 6x3@ 135/85,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Why you feel the same nagging pain in the same spots.,,CF Open 15.5,,,,The 3 most imp muscle groups and how to use them,,,,,,Posture: the cheapest and most effective training tool,,,,,,,,Eva
Athlete,5 rounds; for time,15min AMRAP,4 rounds; for time,,EoMOM for max reps for 16min,for time,4 rounds; for time,2 rounds; for max reps,5 rounds; for time,,EMOM for 21min; ,6rds; for time,6 rounds; for time,EMOM for 16min; max reps,3 rounds; for time,,20min AMRAP,5 rounds; for time,5 rounds; for time,4 rounds;,10 rounds; for time,,20min AMRAP,5 rounds; for time
